id,sire,dam,dam.pop,sire.pop
123,1123,966,tc,tc
124,1124,916,fp,fp
125,1125,967,tc,tc
126,1126,961,tc,tc
127,1127,915,fp,fp
128,1128,955,ml,ml
129,1129,979,tx,tx
130,1130,907,tz,tz
131,1131,964,tc,tc
132,1132,901,tz,tz
133,1133,955,ml,ml
134,1134,943,mc,mc
135,1135,920,fp,fp
136,1136,965,tc,tc
137,1137,956,ml,ml
138,1138,937,da,da
139,1139,981,cl,cl
140,1140,997,cu,cu
141,1141,918,fp,fp
142,1142,904,tz,tz
143,1143,953,ml,ml
144,1144,908,tz,tz
145,1145,966,tc,tc
146,1146,980,tx,tx
147,1147,970,tc,tc
148,1148,964,tc,tc
149,1149,929,mt,mt
150,1150,968,tc,tc
151,1151,988,cl,cl
152,1152,984,cl,cl
153,1153,918,fp,fp
154,1154,963,tc,tc
155,1155,960,ml,ml
156,1156,992,cu,cu
157,1157,913,fp,fp
158,1158,910,tz,tz
159,1159,963,tc,tc
160,1160,922,mt,mt
161,1161,954,ml,ml
162,1162,954,ml,ml
163,1163,968,tc,tc
164,1164,999,cu,cu
165,1165,943,mc,mc
166,1166,938,da,da
167,1167,993,cu,cu
168,1168,912,fp,fp
169,1169,957,ml,ml
170,1170,996,cu,cu
171,1171,948,mc,mc
172,1172,937,da,da
173,1173,930,mt,mt
174,1174,947,mc,mc
175,1175,977,tx,tx
176,1176,918,fp,fp
177,1177,930,mt,mt
178,1178,909,tz,tz
179,1179,930,mt,mt
180,1180,948,mc,mc
181,1181,920,fp,fp
182,1182,996,cu,cu
183,1183,910,tz,tz
184,1184,968,tc,tc
185,1185,989,cl,cl
186,1186,952,ml,ml
187,1187,954,ml,ml
188,1188,983,cl,cl
189,1189,969,tc,tc
190,1190,940,da,da
191,1191,996,cu,cu
192,1192,954,ml,ml
193,1193,972,tx,tx
194,1194,959,ml,ml
195,1195,917,fp,fp
196,1196,921,mt,mt
197,1197,901,tz,tz
198,1198,911,fp,fp
199,1199,971,tx,tx
200,1200,950,mc,mc
201,1201,921,mt,mt
202,1202,946,mc,mc
203,1203,983,cl,cl
204,1204,912,fp,fp
205,1205,909,tz,tz
206,1206,981,cl,cl
207,1207,951,ml,ml
208,1208,994,cu,cu
209,1209,971,tx,tx
210,1210,988,cl,cl
211,1211,953,ml,ml
212,1212,978,tx,tx
213,1213,957,ml,ml
214,1214,973,tx,tx
215,1215,941,mc,mc
216,1216,948,mc,mc
217,1217,940,da,da
218,1218,950,mc,mc
219,1219,980,tx,tx
220,1220,931,da,da
221,1221,967,tc,tc
